=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 16:21:51 =~=~=~=~=~=~=~=~=~=~=~=
9 nce : -2.00, Time : 26.00

: 25.80

94970.00 Pa, 0.94 atm
Difference : 3.00, Time : 25.90

94968.00 Pa, 0.94 atm
Difference : -2.00, Time : 26.00

94968.00 Pa, 0.94 atm
Difference : 94968.00, Time : 0.00

94966.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.10

94967.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.20

94965.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.30

94965.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.40

94956.00 Pa, 0.94 atm
Difference : -9.00, Time : 0.50

94955.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.60

94959.00 Pa, 0.94 atm
Difference : 4.00, Time : 0.70

94964.00 Pa, 0.94 atm
Difference : 5.00, Time : 0.80

94964.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.90

94967.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.00

94969.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.10

94973.00 Pa, 0.94 atm
Difference : 4.00, Time : 1.20

94966.00 Pa, 0.94 atm
Difference : -7.00, Time : 1.30

94968.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.40

94973.00 Pa, 0.94 atm
Difference : 5.00, Time : 1.50

94965.00 Pa, 0.94 atm
Difference : -8.00, Time : 1.60

94961.00 Pa, 0.94 atm
Difference : -4.00, Time : 1.70

94965.00 Pa, 0.94 atm
Difference : 4.00, Time : 1.80

94949.00 Pa, 0.94 atm
Difference : -16.00, Time : 1.90

94950.00 Pa, 0.94 atm
Difference : 1.00, Time : 2.00

94927.00 Pa, 0.94 atm
Difference : -23.00, Time : 2.10

94951.00 Pa, 0.94 atm
Difference : 24.00, Time : 2.20

94951.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.30

94959.00 Pa, 0.94 atm
Difference : 8.00, Time : 2.40

94959.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.50

95036.00 Pa, 0.94 atm
Difference : 77.00, Time : 2.60

96295.00 Pa, 0.95 atm
Difference : 1259.00, Time : 2.70

97046.00 Pa, 0.96 atm
Difference : 751.00, Time : 2.80

97420.00 Pa, 0.96 atm
Difference : 374.00, Time : 2.90

97908.00 Pa, 0.97 atm
Difference : 488.00, Time : 3.00

99064.00 Pa, 0.98 atm
Difference : 1156.00, Time : 3.10

100729.00 Pa, 0.99 atm
Difference : 1665.00, Time : 3.20

103024.00 Pa, 1.02 atm
Difference : 2295.00, Time : 3.30

104798.00 Pa, 1.03 atm
Difference : 1774.00, Time : 3.40

105038.00 Pa, 1.04 atm
Difference : 240.00, Time : 3.50

105538.00 Pa, 1.04 atm
Difference : 500.00, Time : 3.60

105600.00 Pa, 1.04 atm
Difference : 62.00, Time : 3.70

105750.00 Pa, 1.04 atm
Difference : 150.00, Time : 3.80

105749.00 Pa, 1.04 atm
Difference : -1.00, Time : 3.90

105534.00 Pa, 1.04 atm
Difference : -215.00, Time : 4.00

105537.00 Pa, 1.04 atm
Difference : 3.00, Time : 4.10

105344.00 Pa, 1.04 atm
Difference : -193.00, Time : 4.20

105539.00 Pa, 1.04 atm
Difference : 195.00, Time : 4.30

105347.00 Pa, 1.04 atm
Difference : -192.00, Time : 4.40

105438.00 Pa, 1.04 atm
Difference : 91.00, Time : 4.50

105261.00 Pa, 1.04 atm
Difference : -177.00, Time : 4.60

105353.00 Pa, 1.04 atm
Difference : 92.00, Time : 4.70

105094.00 Pa, 1.04 atm
Difference : -259.00, Time : 4.80

105399.00 Pa, 1.04 atm
Difference : 305.00, Time : 4.90

105350.00 Pa, 1.04 atm
Difference : -49.00, Time : 5.00

105355.00 Pa, 1.04 atm
Difference : 5.00, Time : 5.10

106172.00 Pa, 1.05 atm
Difference : 817.00, Time : 5.20

97497.00 Pa, 0.96 atm
Difference : -8675.00, Time : 5.30

94966.00 Pa, 0.94 atm
Difference : -2531.00, Time : 5.40

94973.00 Pa, 0.94 atm
Difference : 7.00, Time : 5.50

94964.00 Pa, 0.94 atm
Difference : -9.00, Time : 5.60

94962.00 Pa, 0.94 atm
Difference : -2.00, Time : 5.70

94969.00 Pa, 0.94 atm
Difference : 7.00, Time : 5.80

94963.00 Pa, 0.94 atm
Difference : -6.00, Time : 5.90

94967.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.00

94968.00 Pa, 0.94 atm
Difference : 1.00, Time : 6.10

94965.00 Pa, 0.94 atm
Difference : -3.00, Time : 6.20

94969.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.30

94976.00 Pa, 0.94 atm
Difference : 7.00, Time : 6.40

94966.00 Pa, 0.94 atm
Difference : -10.00, Time : 6.50

94973.00 Pa, 0.94 atm
Difference : 7.00, Time : 6.60

94965.00 Pa, 0.94 atm
Difference : -8.00, Time : 6.70

94973.00 Pa, 0.94 atm
Difference : 8.00, Time : 6.80

94965.00 Pa, 0.94 atm
Difference : -8.00, Time : 6.90

94969.00 Pa, 0.94 atm
Difference : 4.00, Time : 7.00

94970.00 Pa, 0.94 atm
Difference : 1.00, Time : 7.10

94964.00 Pa, 0.94 atm
Difference : -6.00, Time : 7.20

9
