=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 16:23:03 =~=~=~=~=~=~=~=~=~=~=~=
: 0.a, 0.94 atm
Difference : -7.00, Time : 15.40

94973.00 Pa, 0.94 atm
Difference : 6.00, Time : 15.50

: 15.30

94967.00 Pa, 0.94 atm
Difference : -7.00, Time : 15.40

94973.00 Pa, 0.94 atm
Difference : 6.00, Time : 15.50

: 15.30

94967.00 Pa, 0.94 atm
Difference : -7.00, Time : 15.40

94973.00 Pa, 0.94 atm
Difference : 6.00, Time : 15.50

94977.00 Pa, 0.94 atm
Difference : 94977.00, Time : 0.00

94975.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.10

94969.00 Pa, 0.94 atm
Difference : -6.00, Time : 0.20

94970.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.30

94965.00 Pa, 0.94 atm
Difference : -5.00, Time : 0.40

94972.00 Pa, 0.94 atm
Difference : 7.00, Time : 0.50

94978.00 Pa, 0.94 atm
Difference : 6.00, Time : 0.60

94971.00 Pa, 0.94 atm
Difference : -7.00, Time : 0.70

94976.00 Pa, 0.94 atm
Difference : 5.00, Time : 0.80

94972.00 Pa, 0.94 atm
Difference : -4.00, Time : 0.90

94971.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.00

94978.00 Pa, 0.94 atm
Difference : 7.00, Time : 1.10

94973.00 Pa, 0.94 atm
Difference : -5.00, Time : 1.20

94974.00 Pa, 0.94 atm
Difference : 1.00, Time : 1.30

94970.00 Pa, 0.94 atm
Difference : -4.00, Time : 1.40

94973.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.50

94972.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.60

94969.00 Pa, 0.94 atm
Difference : -3.00, Time : 1.70

94972.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.80

94971.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.90

94970.00 Pa, 0.94 atm
Difference : -1.00, Time : 2.00

94971.00 Pa, 0.94 atm
Difference : 1.00, Time : 2.10

94971.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.20

94969.00 Pa, 0.94 atm
Difference : -2.00, Time : 2.30

94960.00 Pa, 0.94 atm
Difference : -9.00, Time : 2.40

94940.00 Pa, 0.94 atm
Difference : -20.00, Time : 2.50

94917.00 Pa, 0.94 atm
Difference : -23.00, Time : 2.60

94924.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.70

94929.00 Pa, 0.94 atm
Difference : 5.00, Time : 2.80

94929.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.90

94932.00 Pa, 0.94 atm
Difference : 3.00, Time : 3.00

95064.00 Pa, 0.94 atm
Difference : 132.00, Time : 3.10

97352.00 Pa, 0.96 atm
Difference : 2288.00, Time : 3.20

98567.00 Pa, 0.97 atm
