=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 16:24:20 =~=~=~=~=~=~=~=~=~=~=~=
0.94 : -5.00, Time : 56.10

94987.00 Pa, 0.94 atm
Difference : 94987.00, Time : 0.00

94979.00 Pa, 0.94 atm
Difference : -8.00, Time : 0.10

94976.00 Pa, 0.94 atm
Difference : -3.00, Time : 0.20

94971.00 Pa, 0.94 atm
Difference : -5.00, Time : 0.30

94975.00 Pa, 0.94 atm
Difference : 4.00, Time : 0.40

94974.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.50

94980.00 Pa, 0.94 atm
Difference : 6.00, Time : 0.60

94980.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.70

94979.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.80

94979.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.90

94978.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.00

94981.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.10

94975.00 Pa, 0.94 atm
Difference : -6.00, Time : 1.20

94974.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.30

94978.00 Pa, 0.94 atm
Difference : 4.00, Time : 1.40

94978.00 Pa, 0.94 atm
Difference : 0.00, Time : 1.50

94980.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.60

94965.00 Pa, 0.94 atm
Difference : -15.00, Time : 1.70

94946.00 Pa, 0.94 atm
Difference : -19.00, Time : 1.80

94930.00 Pa, 0.94 atm
Difference : -16.00, Time : 1.90

94916.00 Pa, 0.94 atm
Difference : -14.00, Time : 2.00

94934.00 Pa, 0.94 atm
Difference : 18.00, Time : 2.10

94949.00 Pa, 0.94 atm
Difference : 15.00, Time : 2.20

94960.00 Pa, 0.94 atm
Difference : 11.00, Time : 2.30

94967.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.40

95121.00 Pa, 0.94 atm
Difference : 154.00, Time : 2.50

97341.00 Pa, 0.96 atm
Difference : 2220.00, Time : 2.60

98589.00 Pa, 0.97 atm
Difference : 1248.00, Time : 2.70

99469.00 Pa, 0.98 atm
Difference : 880.00, Time : 2.80

100710.00 Pa, 0.99 atm
Difference : 1241.00, Time : 2.90

101612.00 Pa, 1.00 atm
Difference : 902.00, Time : 3.00

102730.00 Pa, 1.01 atm
Difference : 1118.00, Time : 3.10

104116.00 Pa, 1.03 atm
Difference : 1386.00, Time : 3.20

106208.00 Pa, 1.05 atm
Difference : 2092.00, Time : 3.30

106205.00 Pa, 1.05 atm
Difference : -3.00, Time : 3.40

106015.00 Pa, 1.05 atm
Difference : -190.00, Time : 3.50

106166.00 Pa, 1.05 atm
Difference : 151.00, Time : 3.60

106587.00 Pa, 1.05 atm
Difference : 421.00, Time : 3.70

107043.00 Pa, 1.06 atm
Difference : 456.00, Time : 3.80

107226.00 Pa, 1.06 atm
Difference : 183.00, Time : 3.90

107429.00 Pa, 1.06 atm
Difference : 203.00, Time : 4.00

107434.00 Pa, 1.06 atm
Difference : 5.00, Time : 4.10

107562.00 Pa, 1.06 atm
Difference : 128.00, Time : 4.20

107607.00 Pa, 1.06 atm
Difference : 45.00, Time : 4.30

107239.00 Pa, 1.06 atm
Difference : -368.00, Time : 4.40

107375.00 Pa, 1.06 atm
Difference : 136.00, Time : 4.50

107569.00 Pa, 1.06 atm
Difference : 194.00, Time : 4.60

107960.00 Pa, 1.07 atm
Difference : 391.00, Time : 4.70

107331.00 Pa, 1.06 atm
Difference : -629.00, Time : 4.80

106699.00 Pa, 1.05 atm
Difference : -632.00, Time : 4.90

107336.00 Pa, 1.06 atm
Difference : 637.00, Time : 5.00

106933.00 Pa, 1.06 atm
Difference : -403.00, Time : 5.10

106322.00 Pa, 1.05 atm
Difference : -611.00, Time : 5.20

107517.00 Pa, 1.06 atm
Difference : 1195.00, Time : 5.30

105351.00 Pa, 1.04 atm
Difference : -2166.00, Time : 5.40

95182.00 Pa, 0.94 atm
Difference : -10169.00, Time : 5.50

94977.00 Pa, 0.94 atm
Difference : -205.00, Time : 5.60

94971.00 Pa, 0.94 atm
Difference : -6.00, Time : 5.70

94974.00 Pa, 0.94 atm
Difference : 3.00, Time : 5.80

94974.00 Pa, 0.94 atm
Difference : 0.00, Time : 5.90

94973.00 Pa, 0.94 atm
Difference : -1.00, Time : 6.00

94977.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.10

94979.00 Pa, 0.94 atm
Difference : 2.00, Time : 6.20

94979.00 Pa, 0.94 atm
Difference : 0.00, Time : 6.30

94974.00 Pa, 0.94 atm
Difference : -5.00, Time : 6.40

94972.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.50

94981.00 Pa, 0.94 atm
Difference : 9.00, Time : 6.60

94977.00 Pa, 0.94 atm
Difference : -4.00, Time : 6.70

94977.00 Pa, 0.94 atm
Difference : 0.00, Time : 6.80

94976.00 Pa, 0.94 atm
Difference : -1.00, Time : 6.90

9
