=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 17:25:40 =~=~=~=~=~=~=~=~=~=~=~=
94a
Diff atm
Difference : 24.00, Time : 28.60

94942.00 Pa, 0.94 atm
Difference : 13.00, Time : 28.70

94961.00 Pa, 0.94 atm
Diff94906.00 Pa, 0.94 atm
Difference : 94906.00, Time : 0.00

94904.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.10

94905.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.20

94919.00 Pa, 0.94 atm
Difference : 14.00, Time : 0.30

94940.00 Pa, 0.94 atm
Difference : 21.00, Time : 0.40

94942.00 Pa, 0.94 atm
Difference : 2.00, Time : 0.50

94940.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.60

94939.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.70

94942.00 Pa, 0.94 atm
Difference : 3.00, Time : 0.80

94936.00 Pa, 0.94 atm
Difference : -6.00, Time : 0.90

94926.00 Pa, 0.94 atm
Difference : -10.00, Time : 1.00

94928.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.10

94928.00 Pa, 0.94 atm
Difference : 0.00, Time : 1.20

94930.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.30

94931.00 Pa, 0.94 atm
Difference : 1.00, Time : 1.40

94922.00 Pa, 0.94 atm
Difference : -9.00, Time : 1.50

94925.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.60

94923.00 Pa, 0.94 atm
Difference : -2.00, Time : 1.70

94908.00 Pa, 0.94 atm
Difference : -15.00, Time : 1.80

94900.00 Pa, 0.94 atm
Difference : -8.00, Time : 1.90

94904.00 Pa, 0.94 atm
Difference : 4.00, Time : 2.00

94903.00 Pa, 0.94 atm
Difference : -1.00, Time : 2.10

94901.00 Pa, 0.94 atm
Difference : -2.00, Time : 2.20

94918.00 Pa, 0.94 atm
Difference : 17.00, Time : 2.30

94922.00 Pa, 0.94 atm
Difference : 4.00, Time : 2.40

94926.00 Pa, 0.94 atm
Difference : 4.00, Time : 2.50

94933.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.60

95396.00 Pa, 0.94 atm
Difference : 463.00, Time : 2.70

97338.00 Pa, 0.96 atm
Difference : 1942.00, Time : 2.80

98312.00 Pa, 0.97 atm
Difference : 974.00, Time : 2.90

99741.00 Pa, 0.98 atm
Difference : 1429.00, Time : 3.00

101314.00 Pa, 1.00 atm
Difference : 1573.00, Time : 3.10

102655.00 Pa, 1.01 atm
Difference : 1341.00, Time : 3.20

104465.00 Pa, 1.03 atm
Difference : 1810.00, Time : 3.30

106860.00 Pa, 1.05 atm
Difference : 2395.00, Time : 3.40

108433.00 Pa, 1.07 atm
Difference : 1573.00, Time : 3.50

108767.00 Pa, 1.07 atm
Difference : 334.00, Time : 3.60

108651.00 Pa, 1.07 atm
Difference : -116.00, Time : 3.70

108742.00 Pa, 1.07 atm
Difference : 91.00, Time : 3.80

108543.00 Pa, 1.07 atm
Difference : -199.00, Time : 3.90

108248.00 Pa, 1.07 atm
Difference : -295.00, Time : 4.00

108245.00 Pa, 1.07 atm
Difference : -3.00, Time : 4.10

108485.00 Pa, 1.07 atm
Difference : 240.00, Time : 4.20

108590.00 Pa, 1.07 atm
Difference : 105.00, Time : 4.30

108386.00 Pa, 1.07 atm
Difference : -204.00, Time : 4.40

108440.00 Pa, 1.07 atm
Difference : 54.00, Time : 4.50

108519.00 Pa, 1.07 atm
Difference : 79.00, Time : 4.60

108862.00 Pa, 1.07 atm
Difference : 343.00, Time : 4.70

108725.00 Pa, 1.07 atm
Difference : -137.00, Time : 4.80

108924.00 Pa, 1.07 atm
Difference : 199.00, Time : 4.90

108660.00 Pa, 1.07 atm
Difference : -264.00, Time : 5.00

108690.00 Pa, 1.07 atm
Difference : 30.00, Time : 5.10

108650.00 Pa, 1.07 atm
Difference : -40.00, Time : 5.20

108763.00 Pa, 1.07 atm
Difference : 113.00, Time : 5.30

103937.00 Pa, 1.03 atm
Difference : -4826.00, Time : 5.40

94910.00 Pa, 0.94 atm
Difference : -9027.00, Time : 5.50

94931.00 Pa, 0.94 atm
Difference : 21.00, Time : 5.60

94927.00 Pa, 0.94 atm
Difference : -4.00, Time : 5.70

94929.00 Pa, 0.94 atm
Difference : 2.00, Time : 5.80

94924.00 Pa, 0.94 atm
Difference : -5.00, Time : 5.90

94931.00 Pa, 0.94 atm
Difference : 7.00, Time : 6.00

94929.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.10

94928.00 Pa, 0.94 atm
Difference : -1.00, Time : 6.20

94932.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.30

94930.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.40

94925.00 Pa, 0.94 atm
Difference : -5.00, Time : 6.50

94932.00 Pa, 0.94 atm
Difference : 7.00, Time : 6.60

94931.00 Pa, 0.94 atm
Difference : -1.00, Time : 6.70

9
