=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 17:26:32 =~=~=~=~=~=~=~=~=~=~=~=
95.00, Time : 37.10

94930.00 Pa, 0.94 atm
Difference : -2.00, Time : 37.20

94933.00 Pa, 0.94 atm
Difference : 94933.00, Time : 0.00

94930.00 Pa, 0.94 atm
Difference : -3.00, Time : 0.10

94926.00 Pa, 0.94 atm
Difference : -4.00, Time : 0.20

94925.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.30

94925.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.40

94906.00 Pa, 0.94 atm
Difference : -19.00, Time : 0.50

94906.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.60

94926.00 Pa, 0.94 atm
Difference : 20.00, Time : 0.70

94933.00 Pa, 0.94 atm
Difference : 7.00, Time : 0.80

94931.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.90

94934.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.00

94926.00 Pa, 0.94 atm
Difference : -8.00, Time : 1.10

94929.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.20

94931.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.30

94938.00 Pa, 0.94 atm
Difference : 7.00, Time : 1.40

94936.00 Pa, 0.94 atm
Difference : -2.00, Time : 1.50

94931.00 Pa, 0.94 atm
Difference : -5.00, Time : 1.60

94936.00 Pa, 0.94 atm
Difference : 5.00, Time : 1.70

94931.00 Pa, 0.94 atm
Difference : -5.00, Time : 1.80

94933.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.90

94939.00 Pa, 0.94 atm
Difference : 6.00, Time : 2.00

94929.00 Pa, 0.94 atm
Difference : -10.00, Time : 2.10

94933.00 Pa, 0.94 atm
Difference : 4.00, Time : 2.20

94926.00 Pa, 0.94 atm
Difference : -7.00, Time : 2.30

94918.00 Pa, 0.94 atm
Difference : -8.00, Time : 2.40

94894.00 Pa, 0.94 atm
Difference : -24.00, Time : 2.50

94877.00 Pa, 0.94 atm
Difference : -17.00, Time : 2.60

94865.00 Pa, 0.94 atm
Difference : -12.00, Time : 2.70

94875.00 Pa, 0.94 atm
Difference : 10.00, Time : 2.80

94886.00 Pa, 0.94 atm
Difference : 11.00, Time : 2.90

94899.00 Pa, 0.94 atm
Difference : 13.00, Time : 3.00

94926.00 Pa, 0.94 atm
Difference : 27.00, Time : 3.10

94950.00 Pa, 0.94 atm
Difference : 24.00, Time : 3.20

95763.00 Pa, 0.95 atm
Difference : 813.00, Time : 3.30

97324.00 Pa, 0.96 atm
Difference : 1561.00, Time : 3.40

98368.00 Pa, 0.97 atm
Difference : 1044.00, Time : 3.50

99647.00 Pa, 0.98 atm
Difference : 1279.00, Time : 3.60

100890.00 Pa, 1.00 atm
Difference : 1243.00, Time : 3.70

102599.00 Pa, 1.01 atm
Difference : 1709.00, Time : 3.80

105021.00 Pa, 1.04 atm
Difference : 2422.00, Time : 3.90

106251.00 Pa, 1.05 atm
Difference : 1230.00, Time : 4.00

106845.00 Pa, 1.05 atm
Difference : 594.00, Time : 4.10

106749.00 Pa, 1.05 atm
Difference : -96.00, Time : 4.20

106994.00 Pa, 1.06 atm
Difference : 245.00, Time : 4.30

106799.00 Pa, 1.05 atm
Difference : -195.00, Time : 4.40

107341.00 Pa, 1.06 atm
Difference : 542.00, Time : 4.50

107865.00 Pa, 1.06 atm
Difference : 524.00, Time : 4.60

108072.00 Pa, 1.07 atm
Difference : 207.00, Time : 4.70

108301.00 Pa, 1.07 atm
Difference : 229.00, Time : 4.80

108769.00 Pa, 1.07 atm
Difference : 468.00, Time : 4.90

108791.00 Pa, 1.07 atm
Difference : 22.00, Time : 5.00

108737.00 Pa, 1.07 atm
Difference : -54.00, Time : 5.10

108652.00 Pa, 1.07 atm
Difference : -85.00, Time : 5.20

108466.00 Pa, 1.07 atm
Difference : -186.00, Time : 5.30

108191.00 Pa, 1.07 atm
Difference : -275.00, Time : 5.40

107478.00 Pa, 1.06 atm
Difference : -713.00, Time : 5.50

107291.00 Pa, 1.06 atm
Difference : -187.00, Time : 5.60

107016.00 Pa, 1.06 atm
Difference : -275.00, Time : 5.70

106746.00 Pa, 1.05 atm
Difference : -270.00, Time : 5.80

106502.00 Pa, 1.05 atm
Difference : -244.00, Time : 5.90

106590.00 Pa, 1.05 atm
Difference : 88.00, Time : 6.00

104405.00 Pa, 1.03 atm
Difference : -2185.00, Time : 6.10

95121.00 Pa, 0.94 atm
Difference : -9284.00, Time : 6.20

94935.00 Pa, 0.94 atm
Difference : -186.00, Time : 6.30

94932.00 Pa, 0.94 atm
Difference : -3.00, Time : 6.40

94930.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.50

94924.00 Pa, 0.94 atm
Difference : -6.00, Time : 6.60

94931.00 Pa, 0.94 atm
Difference : 7.00, Time : 6.70

94929.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.80

94932.00 Pa, 0.94 atm
Difference : 3.00, Time : 6.90

94926.00 Pa, 0.94 atm
Difference : -6.00, Time : 7.00

94930.00 Pa, 0.94 atm
Difference : 4.00, Time : 7.10

94935.00 Pa, 0.94 atm
Difference : 5.00, Time : 7.20

94932.00 Pa, 0.94 atm
Difference : -3.00, Time : 7.30

94931.00 Pa, 0.94 atm
Difference : -1.00, Time : 7.40

94931.00 Pa, 0.94 atm
Difference : 0.00, Time : 7.50

94928.00 Pa, 0.94 atm
Difference : -3.00, Time : 7.60

94935.00 Pa, 0.94 atm
Difference : 7.00, Time : 7.70

9
