=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 17:27:38 =~=~=~=~=~=~=~=~=~=~=~=
949e0, Time : 47.40

: 47.20

94927.00 Pa, 0.94 atm
Difference : 3.00, Time : 47.30

94922.00 Pa, 0.94 atm
Difference : -5.00, Time : 47.40

94935.00 Pa, 0.94 atm
Difference : 94935.00, Time : 0.00

94925.00 Pa, 0.94 atm
Difference : -10.00, Time : 0.10

94921.00 Pa, 0.94 atm
Difference : -4.00, Time : 0.20

94922.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.30

94925.00 Pa, 0.94 atm
Difference : 3.00, Time : 0.40

94920.00 Pa, 0.94 atm
Difference : -5.00, Time : 0.50

94924.00 Pa, 0.94 atm
Difference : 4.00, Time : 0.60

94923.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.70

94928.00 Pa, 0.94 atm
Difference : 5.00, Time : 0.80

94925.00 Pa, 0.94 atm
Difference : -3.00, Time : 0.90

94923.00 Pa, 0.94 atm
Difference : -2.00, Time : 1.00

94920.00 Pa, 0.94 atm
Difference : -3.00, Time : 1.10

94921.00 Pa, 0.94 atm
Difference : 1.00, Time : 1.20

94922.00 Pa, 0.94 atm
Difference : 1.00, Time : 1.30

94919.00 Pa, 0.94 atm
Difference : -3.00, Time : 1.40

94921.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.50

94875.00 Pa, 0.94 atm
Difference : -46.00, Time : 1.60

94852.00 Pa, 0.94 atm
Difference : -23.00, Time : 1.70

94866.00 Pa, 0.94 atm
Difference : 14.00, Time : 1.80

94889.00 Pa, 0.94 atm
Difference : 23.00, Time : 1.90

94884.00 Pa, 0.94 atm
Difference : -5.00, Time : 2.00

94914.00 Pa, 0.94 atm
Difference : 30.00, Time : 2.10

94926.00 Pa, 0.94 atm
Difference : 12.00, Time : 2.20

95383.00 Pa, 0.94 atm
Difference : 457.00, Time : 2.30

97765.00 Pa, 0.96 atm
Difference : 2382.00, Time : 2.40

98953.00 Pa, 0.98 atm
Difference : 1188.00, Time : 2.50

99883.00 Pa, 0.99 atm
Difference : 930.00, Time : 2.60

101412.00 Pa, 1.00 atm
Difference : 1529.00, Time : 2.70

103065.00 Pa, 1.02 atm
Difference : 1653.00, Time : 2.80

104640.00 Pa, 1.03 atm
Difference : 1575.00, Time : 2.90

106056.00 Pa, 1.05 atm
Difference : 1416.00, Time : 3.00

106276.00 Pa, 1.05 atm
Difference : 220.00, Time : 3.10

106336.00 Pa, 1.05 atm
Difference : 60.00, Time : 3.20

106112.00 Pa, 1.05 atm
Difference : -224.00, Time : 3.30

106471.00 Pa, 1.05 atm
Difference : 359.00, Time : 3.40

106060.00 Pa, 1.05 atm
Difference : -411.00, Time : 3.50

106523.00 Pa, 1.05 atm
Difference : 463.00, Time : 3.60

106135.00 Pa, 1.05 atm
Difference : -388.00, Time : 3.70

106355.00 Pa, 1.05 atm
Difference : 220.00, Time : 3.80

106473.00 Pa, 1.05 atm
Difference : 118.00, Time : 3.90

106474.00 Pa, 1.05 atm
Difference : 1.00, Time : 4.00

106350.00 Pa, 1.05 atm
Difference : -124.00, Time : 4.10

106582.00 Pa, 1.05 atm
Difference : 232.00, Time : 4.20

106302.00 Pa, 1.05 atm
Difference : -280.00, Time : 4.30

106323.00 Pa, 1.05 atm
Difference : 21.00, Time : 4.40

106043.00 Pa, 1.05 atm
Difference : -280.00, Time : 4.50

106124.00 Pa, 1.05 atm
Difference : 81.00, Time : 4.60

105626.00 Pa, 1.04 atm
Difference : -498.00, Time : 4.70

106196.00 Pa, 1.05 atm
Difference : 570.00, Time : 4.80

97345.00 Pa, 0.96 atm
Difference : -8851.00, Time : 4.90

94927.00 Pa, 0.94 atm
Difference : -2418.00, Time : 5.00

94923.00 Pa, 0.94 atm
Difference : -4.00, Time : 5.10

94923.00 Pa, 0.94 atm
Difference : 0.00, Time : 5.20

94923.00 Pa, 0.94 atm
Difference : 0.00, Time : 5.30

94926.00 Pa, 0.94 atm
Difference : 3.00, Time : 5.40

94929.00 Pa, 0.94 atm
Difference : 3.00, Time : 5.50

94925.00 Pa, 0.94 atm
Difference : -4.00, Time : 5.60

94926.00 Pa, 0.94 atm
Difference : 1.00, Time : 5.70

94928.00 Pa, 0.94 atm
Difference : 2.00, Time : 5.80

94927.00 Pa, 0.94 atm
Difference : -1.00, Time : 5.90

94925.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.00

94927.00 Pa, 0.94 atm
Difference : 2.00, Time : 6.10

94930.00 Pa, 0.94 atm
Difference : 3.00, Time : 6.20

9
