=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 20:06:49 =~=~=~=~=~=~=~=~=~=~=~=

DiPa, 0.94 atm
Difference : 0.00, Time : 72.20

 : 72.00

95057.00 Pa, 0.94 atm
Difference : 0.00, Time : 72.10

95057.00 Pa, 0.94 atm
Difference : 0.00, Time : 72.20

95053.00 Pa, 0.94 atm
Difference : 95053.00, Time : 0.00

95061.00 Pa, 0.94 atm
Difference : 8.00, Time : 0.10

95073.00 Pa, 0.94 atm
Difference : 12.00, Time : 0.20

95058.00 Pa, 0.94 atm
Difference : -15.00, Time : 0.30

95063.00 Pa, 0.94 atm
Difference : 5.00, Time : 0.40

95068.00 Pa, 0.94 atm
Difference : 5.00, Time : 0.50

95058.00 Pa, 0.94 atm
Difference : -10.00, Time : 0.60

95065.00 Pa, 0.94 atm
Difference : 7.00, Time : 0.70

95055.00 Pa, 0.94 atm
Difference : -10.00, Time : 0.80

95063.00 Pa, 0.94 atm
Difference : 8.00, Time : 0.90

95060.00 Pa, 0.94 atm
Difference : -3.00, Time : 1.00

95061.00 Pa, 0.94 atm
Difference : 1.00, Time : 1.10

95057.00 Pa, 0.94 atm
Difference : -4.00, Time : 1.20

95059.00 Pa, 0.94 atm
Difference : 2.00, Time : 1.30

95057.00 Pa, 0.94 atm
Difference : -2.00, Time : 1.40

95057.00 Pa, 0.94 atm
Difference : 0.00, Time : 1.50

95057.00 Pa, 0.94 atm
Difference : 0.00, Time : 1.60

95056.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.70

95053.00 Pa, 0.94 atm
Difference : -3.00, Time : 1.80

95058.00 Pa, 0.94 atm
Difference : 5.00, Time : 1.90

95056.00 Pa, 0.94 atm
Difference : -2.00, Time : 2.00

95063.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.10

95079.00 Pa, 0.94 atm
Difference : 16.00, Time : 2.20

95086.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.30

95072.00 Pa, 0.94 atm
Difference : -14.00, Time : 2.40

95054.00 Pa, 0.94 atm
Difference : -18.00, Time : 2.50

95055.00 Pa, 0.94 atm
Difference : 1.00, Time : 2.60

95047.00 Pa, 0.94 atm
Difference : -8.00, Time : 2.70

95047.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.80

95022.00 Pa, 0.94 atm
Difference : -25.00, Time : 2.90

94990.00 Pa, 0.94 atm
Difference : -32.00, Time : 3.00

94973.00 Pa, 0.94 atm
Difference : -17.00, Time : 3.10

94965.00 Pa, 0.94 atm
Difference : -8.00, Time : 3.20

95010.00 Pa, 0.94 atm
Difference : 45.00, Time : 3.30

95048.00 Pa, 0.94 atm
Difference : 38.00, Time : 3.40

97522.00 Pa, 0.96 atm
Difference : 2474.00, Time : 3.50

100228.00 Pa, 0.99 atm
Difference : 2706.00, Time : 3.60

103004.00 Pa, 1.02 atm
Difference : 2776.00, Time : 3.70

106365.00 Pa, 1.05 atm
Difference : 3361.00, Time : 3.80

111169.00 Pa, 1.10 atm
Difference : 4804.00, Time : 3.90

113205.00 Pa, 1.12 atm
Difference : 2036.00, Time : 4.00

113279.00 Pa, 1.12 atm
Difference : 74.00, Time : 4.10

112798.00 Pa, 1.11 atm
Difference : -481.00, Time : 4.20

111987.00 Pa, 1.11 atm
Difference : -811.00, Time : 4.30

111265.00 Pa, 1.10 atm
Difference : -722.00, Time : 4.40

110645.00 Pa, 1.09 atm
Difference : -620.00, Time : 4.50

110515.00 Pa, 1.09 atm
Difference : -130.00, Time : 4.60

110176.00 Pa, 1.09 atm
Difference : -339.00, Time : 4.70

110546.00 Pa, 1.09 atm
Difference : 370.00, Time : 4.80

110445.00 Pa, 1.09 atm
Difference : -101.00, Time : 4.90

109727.00 Pa, 1.08 atm
Difference : -718.00, Time : 5.00

107309.00 Pa, 1.06 atm
Difference : -2418.00, Time : 5.10

95439.00 Pa, 0.94 atm
Difference : -11870.00, Time : 5.20

95050.00 Pa, 0.94 atm
Difference : -389.00, Time : 5.30

95053.00 Pa, 0.94 atm
Difference : 3.00, Time : 5.40

95054.00 Pa, 0.94 atm
Difference : 1.00, Time : 5.50

95055.00 Pa, 0.94 atm
Difference : 1.00, Time : 5.60

95056.00 Pa, 0.94 atm
Difference : 1.00, Time : 5.70

95053.00 Pa, 0.94 atm
Difference : -3.00, Time : 5.80

95060.00 Pa, 0.94 atm
Difference : 7.00, Time : 5.90

95055.00 Pa, 0.94 atm
Difference : -5.00, Time : 6.00

95057.00 Pa, 0.94 atm
Difference : 2.00, Time : 6.10

95049.00 Pa, 0.94 atm
Difference : -8.00, Time : 6.20

95050.00 Pa, 0.94 atm
Difference : 1.00, Time : 6.30

95054.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.40

95052.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.50

95051.00 Pa, 0.94 atm
Difference : -1.00, Time : 6.60

95055.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.70

9
