=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 20:22:24 =~=~=~=~=~=~=~=~=~=~=~=
95 Pa, 0.94 atm
Difference : 22.00, Time : 405.92

95099.00 Pa, 0.94 atm
Difference : 1.00, Time :0, Time : 405.82

95098.00 Pa, 0.94 atm
Difference : 22.00, Time : 405.92

95099.00 Pa, 0.94 atm
Difference : 1.00, Time :95100.00 Pa, 0.94 atm
Difference : 95100.00, Time : 0.00

95101.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.10

95100.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.20

95096.00 Pa, 0.94 atm
Difference : -4.00, Time : 0.30

95097.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.40

95099.00 Pa, 0.94 atm
Difference : 2.00, Time : 0.50

95098.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.60

95094.00 Pa, 0.94 atm
Difference : -4.00, Time : 0.70

95096.00 Pa, 0.94 atm
Difference : 2.00, Time : 0.80

95101.00 Pa, 0.94 atm
Difference : 5.00, Time : 0.90

95093.00 Pa, 0.94 atm
Difference : -8.00, Time : 1.00

95090.00 Pa, 0.94 atm
Difference : -3.00, Time : 1.10

95093.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.20

95097.00 Pa, 0.94 atm
Difference : 4.00, Time : 1.30

95100.00 Pa, 0.94 atm
Difference : 3.00, Time : 1.40

95095.00 Pa, 0.94 atm
Difference : -5.00, Time : 1.50

95090.00 Pa, 0.94 atm
Difference : -5.00, Time : 1.60

95089.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.70

95081.00 Pa, 0.94 atm
Difference : -8.00, Time : 1.80

95092.00 Pa, 0.94 atm
Difference : 11.00, Time : 1.90

95102.00 Pa, 0.94 atm
Difference : 10.00, Time : 2.00

95113.00 Pa, 0.94 atm
Difference : 11.00, Time : 2.10

95110.00 Pa, 0.94 atm
Difference : -3.00, Time : 2.20

95104.00 Pa, 0.94 atm
Difference : -6.00, Time : 2.30

95104.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.40

95113.00 Pa, 0.94 atm
Difference : 9.00, Time : 2.50

95098.00 Pa, 0.94 atm
Difference : -15.00, Time : 2.60

95058.00 Pa, 0.94 atm
Difference : -40.00, Time : 2.70

95040.00 Pa, 0.94 atm
Difference : -18.00, Time : 2.80

95047.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.90

95032.00 Pa, 0.94 atm
Difference : -15.00, Time : 3.00

95039.00 Pa, 0.94 atm
Difference : 7.00, Time : 3.10

95045.00 Pa, 0.94 atm
Difference : 6.00, Time : 3.20

95079.00 Pa, 0.94 atm
Difference : 34.00, Time : 3.30

95148.00 Pa, 0.94 atm
Difference : 69.00, Time : 3.40

97034.00 Pa, 0.96 atm
Difference : 1886.00, Time : 3.50

98526.00 Pa, 0.97 atm
Difference : 1492.00, Time : 3.60

100595.00 Pa, 0.99 atm
Difference : 2069.00, Time : 3.70

102933.00 Pa, 1.02 atm
Difference : 2338.00, Time : 3.80

104729.00 Pa, 1.03 atm
Difference : 1796.00, Time : 3.90

106188.00 Pa, 1.05 atm
Difference : 1459.00, Time : 4.00

108289.00 Pa, 1.07 atm
Difference : 2101.00, Time : 4.10

108187.00 Pa, 1.07 atm
Difference : -102.00, Time : 4.20

108066.00 Pa, 1.07 atm
Difference : -121.00, Time : 4.30

107995.00 Pa, 1.07 atm
Difference : -71.00, Time : 4.40

107851.00 Pa, 1.06 atm
Difference : -144.00, Time : 4.50

107963.00 Pa, 1.07 atm
Difference : 112.00, Time : 4.60

107611.00 Pa, 1.06 atm
Difference : -352.00, Time : 4.70

107627.00 Pa, 1.06 atm
Difference : 16.00, Time : 4.80

107550.00 Pa, 1.06 atm
Difference : -77.00, Time : 4.90

107292.00 Pa, 1.06 atm
Difference : -258.00, Time : 5.00

107398.00 Pa, 1.06 atm
Difference : 106.00, Time : 5.10

107262.00 Pa, 1.06 atm
Difference : -136.00, Time : 5.20

106418.00 Pa, 1.05 atm
Difference : -844.00, Time : 5.30

105405.00 Pa, 1.04 atm
Difference : -1013.00, Time : 5.40

95318.00 Pa, 0.94 atm
Difference : -10087.00, Time : 5.50

95096.00 Pa, 0.94 atm
Difference : -222.00, Time : 5.60

95099.00 Pa, 0.94 atm
Difference : 3.00, Time : 5.70

95084.00 Pa, 0.94 atm
Difference : -15.00, Time : 5.80

95089.00 Pa, 0.94 atm
Difference : 5.00, Time : 5.90

95090.00 Pa, 0.94 atm
Difference : 1.00, Time : 6.00

95094.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.10

95099.00 Pa, 0.94 atm
Difference : 5.00, Time : 6.20

95101.00 Pa, 0.94 atm
Difference : 2.00, Time : 6.30

95092.00 Pa, 0.94 atm
Difference : -9.00, Time : 6.40

95088.00 Pa, 0.94 atm
Difference : -4.00, Time : 6.50

95088.00 Pa, 0.94 atm
Difference : 0.00, Time : 6.60

95088.00 Pa, 0.94 atm
Difference : 0.00, Time : 6.70

9
