=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 20:23:37 =~=~=~=~=~=~=~=~=~=~=~=
9500, Time : 52.90

95099.00 Pa, 0.94 atm
Difference : -1.00, Time : 53.00

95101.00 Pa, 0.94 atm
Difference : 2.00, Time : 50, Time : 52.90

95099.00 Pa, 0.94 atm
Difference : -1.00, Time : 53.00

95101.00 Pa, 0.94 atm
Difference : 2.00, Time : 53, Time : 52.90

95099.00 Pa, 0.94 atm
Difference : -1.00, Time : 53.00

95101.00 Pa, 0.94 atm
Difference : 2.00, Time : 5395103.00 Pa, 0.94 atm
Difference : 95103.00, Time : 0.00

95101.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.10

95101.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.20

95100.00 Pa, 0.94 atm
Difference : -1.00, Time : 0.30

95102.00 Pa, 0.94 atm
Difference : 2.00, Time : 0.40

95103.00 Pa, 0.94 atm
Difference : 1.00, Time : 0.50

95101.00 Pa, 0.94 atm
Difference : -2.00, Time : 0.60

95101.00 Pa, 0.94 atm
Difference : 0.00, Time : 0.70

95098.00 Pa, 0.94 atm
Difference : -3.00, Time : 0.80

95080.00 Pa, 0.94 atm
Difference : -18.00, Time : 0.90

95064.00 Pa, 0.94 atm
Difference : -16.00, Time : 1.00

95044.00 Pa, 0.94 atm
Difference : -20.00, Time : 1.10

95071.00 Pa, 0.94 atm
Difference : 27.00, Time : 1.20

95088.00 Pa, 0.94 atm
Difference : 17.00, Time : 1.30

95097.00 Pa, 0.94 atm
Difference : 9.00, Time : 1.40

95093.00 Pa, 0.94 atm
Difference : -4.00, Time : 1.50

95099.00 Pa, 0.94 atm
Difference : 6.00, Time : 1.60

95103.00 Pa, 0.94 atm
Difference : 4.00, Time : 1.70

95102.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.80

95101.00 Pa, 0.94 atm
Difference : -1.00, Time : 1.90

95103.00 Pa, 0.94 atm
Difference : 2.00, Time : 2.00

95109.00 Pa, 0.94 atm
Difference : 6.00, Time : 2.10

95116.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.20

95102.00 Pa, 0.94 atm
Difference : -14.00, Time : 2.30

95043.00 Pa, 0.94 atm
Difference : -59.00, Time : 2.40

95043.00 Pa, 0.94 atm
Difference : 0.00, Time : 2.50

95050.00 Pa, 0.94 atm
Difference : 7.00, Time : 2.60

95059.00 Pa, 0.94 atm
Difference : 9.00, Time : 2.70

95064.00 Pa, 0.94 atm
Difference : 5.00, Time : 2.80

95078.00 Pa, 0.94 atm
Difference : 14.00, Time : 2.90

95084.00 Pa, 0.94 atm
Difference : 6.00, Time : 3.00

95102.00 Pa, 0.94 atm
Difference : 18.00, Time : 3.10

96835.00 Pa, 0.96 atm
Difference : 1733.00, Time : 3.20

99106.00 Pa, 0.98 atm
Difference : 2271.00, Time : 3.30

100870.00 Pa, 1.00 atm
Difference : 1764.00, Time : 3.40

102984.00 Pa, 1.02 atm
Difference : 2114.00, Time : 3.50

104965.00 Pa, 1.04 atm
Difference : 1981.00, Time : 3.60

106983.00 Pa, 1.06 atm
Difference : 2018.00, Time : 3.70

107861.00 Pa, 1.06 atm
Difference : 878.00, Time : 3.80

108567.00 Pa, 1.07 atm
Difference : 706.00, Time : 3.90

107818.00 Pa, 1.06 atm
Difference : -749.00, Time : 4.00

107450.00 Pa, 1.06 atm
Difference : -368.00, Time : 4.10

107448.00 Pa, 1.06 atm
Difference : -2.00, Time : 4.20

107370.00 Pa, 1.06 atm
Difference : -78.00, Time : 4.30

107587.00 Pa, 1.06 atm
Difference : 217.00, Time : 4.40

107376.00 Pa, 1.06 atm
Difference : -211.00, Time : 4.50

107215.00 Pa, 1.06 atm
Difference : -161.00, Time : 4.60

107410.00 Pa, 1.06 atm
Difference : 195.00, Time : 4.70

107541.00 Pa, 1.06 atm
Difference : 131.00, Time : 4.80

107870.00 Pa, 1.06 atm
Difference : 329.00, Time : 4.90

107528.00 Pa, 1.06 atm
Difference : -342.00, Time : 5.00

107826.00 Pa, 1.06 atm
Difference : 298.00, Time : 5.10

97362.00 Pa, 0.96 atm
Difference : -10464.00, Time : 5.20

95099.00 Pa, 0.94 atm
Difference : -2263.00, Time : 5.30

95097.00 Pa, 0.94 atm
Difference : -2.00, Time : 5.40

95095.00 Pa, 0.94 atm
Difference : -2.00, Time : 5.50

95092.00 Pa, 0.94 atm
Difference : -3.00, Time : 5.60

95092.00 Pa, 0.94 atm
Difference : 0.00, Time : 5.70

95096.00 Pa, 0.94 atm
Difference : 4.00, Time : 5.80

95096.00 Pa, 0.94 atm
Difference : 0.00, Time : 5.90

95094.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.00

95094.00 Pa, 0.94 atm
Difference : 0.00, Time : 6.10

95100.00 Pa, 0.94 atm
Difference : 6.00, Time : 6.20

95096.00 Pa, 0.94 atm
Difference : -4.00, Time : 6.30

95099.00 Pa, 0.94 atm
Difference : 3.00, Time : 6.40

9
